reaction,n,PRR,ROR,ROR_IC95_low,ROR_IC95_high,Chi2,signal_confirmed
Auricular swelling,17,31.684,31.685,13.139,76.405,136.85,True
Proctitis ulcerative,116,31.528,31.535,22.527,44.146,932.15,True
Vaginal cancer metastatic,12,31.311,31.312,11.031,88.879,96.19,True
Rectal stenosis,89,30.556,30.561,20.903,44.68,707.1,True
Injection site extravasation,399,30.264,30.287,25.328,36.216,3158.88,True
Pulmonary microemboli,25,29.65,29.652,14.59,60.261,196.42,True
Colon cancer stage I,9,29.354,29.354,9.04,95.322,70.44,True
Transferrin increased,9,29.354,29.354,9.04,95.322,70.44,True
Faeces soft,2904,29.121,29.279,27.424,31.26,22661.29,True
Genital infection bacterial,20,28.992,28.993,13.201,63.673,155.81,True
Benign uterine neoplasm,20,28.992,28.993,13.201,63.673,155.81,True
Intestinal stenosis,853,28.98,29.026,25.732,32.743,6644.1,True
Anal haemorrhage,548,28.828,28.857,24.837,33.528,4259.82,True
Pseudopolyposis,35,28.539,28.54,15.797,51.564,271.01,True
Volvulus of small bowel,39,28.267,28.269,16.171,49.416,300.87,True
Graft infection,26,26.092,26.094,13.409,50.779,194.24,True
Haematochezia,11189,25.378,25.916,25.101,26.756,82629.19,True
Abscess intestinal,373,25.345,25.362,21.31,30.186,2753.04,True
Anorectal polyp,123,25.073,25.079,18.54,33.924,903.7,True
Liver transplant failure,21,24.906,24.907,12.009,51.659,153.85,True
Retained products of conception,21,24.906,24.907,12.009,51.659,153.85,True
Benign salivary gland neoplasm,15,24.462,24.462,10.371,57.698,109.05,True
Anal cyst,26,24.229,24.23,12.652,46.401,188.23,True
Blood pressure ambulatory increased,13,24.229,24.229,9.667,60.729,94.11,True
Remission not achieved,76,24.183,24.187,16.543,35.361,549.76,True
Loss of therapeutic response,1278,23.717,23.773,21.682,26.066,9165.76,True
Ileal stenosis,326,23.498,23.512,19.605,28.197,2328.42,True
Wound infection fungal,9,23.483,23.484,7.87,70.073,64.26,True
Vessel puncture site haematoma,25,23.297,23.298,12.111,44.819,177.88,True
Anal stenosis,119,23.172,23.177,17.18,31.266,844.64,True
Basal ganglia infarction,21,22.831,22.832,11.233,46.406,148.06,True
Scrotal discomfort,7,22.831,22.831,6.683,77.993,49.35,True
Bone sarcoma,7,22.831,22.831,6.683,77.993,49.35,True
Cerebral microangiopathy,21,22.831,22.832,11.233,46.406,148.06,True
Intestinal fistula,180,22.58,22.587,17.743,28.755,1262.67,True
Large intestinal stenosis,403,22.468,22.485,19.139,26.416,2820.55,True
Rectal abscess,230,22.393,22.402,18.104,27.721,1607.24,True
Retained placenta or membranes,17,22.179,22.179,10.156,48.437,118.27,True
Stress at work,446,22.04,22.058,18.943,25.685,3093.77,True
Anastomotic ulcer,153,21.935,21.941,16.926,28.441,1058.94,True
Prepyloric stenosis,5,21.744,21.744,5.196,90.987,34.46,True
Anal spasm,5,21.744,21.744,5.196,90.987,34.46,True
Social problem,609,21.708,21.732,19.09,24.741,4194.45,True
Stoma site abscess,57,21.247,21.249,13.949,32.369,388.59,True
Tonsillar exudate,16,20.874,20.875,9.473,46.0,108.15,True
Medical device site ulcer,8,20.874,20.874,6.829,63.809,54.08,True
Small intestinal stenosis,156,20.767,20.773,16.135,26.744,1051.86,True
Intestinal mass,175,20.755,20.762,16.356,26.354,1179.64,True
Abdominal adhesions,349,20.326,20.339,17.197,24.056,2328.55,True
Eye abscess,42,20.294,20.296,12.515,32.914,280.01,True
Palatal perforation,3,19.569,19.569,3.27,117.12,19.64,True
Chronotropic incompetence,3,19.569,19.569,3.27,117.12,19.64,True
Abdominal mass,541,19.076,19.095,16.729,21.794,3495.54,True
Bladder cyst,35,19.026,19.027,11.318,31.986,225.84,True
Intracardiac mass,16,18.976,18.977,8.807,40.891,103.1,True
Gastritis viral,16,18.976,18.977,8.807,40.891,103.1,True
Anorectal discomfort,383,18.714,18.727,16.018,21.895,2450.15,True
Gamma-glutamyltransferase decreased,14,18.265,18.265,8.113,41.121,88.42,True
Habitual abortion,19,17.706,17.706,8.878,35.314,118.01,True
Drug level decreased,1654,17.416,17.469,16.227,18.804,10180.5,True
Enteropathic spondylitis,4,17.395,17.395,3.893,77.724,24.6,True
Gallbladder atrophy,4,17.395,17.395,3.893,77.724,24.6,True
Colon dysplasia,32,17.395,17.396,10.247,29.533,196.83,True
Infected fistula,92,17.146,17.149,12.567,23.402,561.4,True
White coat hypertension,243,17.044,17.052,14.087,20.64,1477.91,True
Cervix haemorrhage uterine,22,16.883,16.884,8.966,31.795,133.09,True
Pregnancy,2074,16.733,16.797,15.738,17.926,12484.14,True
Menstrual headache,5,16.308,16.308,4.379,60.731,29.66,True
Ophthalmological examination abnormal,5,16.308,16.308,4.379,60.731,29.66,True
Central nervous system bacterial infection,5,16.308,16.308,4.379,60.731,29.66,True
Anal fissure haemorrhage,41,16.209,16.21,10.25,25.637,242.34,True
Medical device site discharge,11,15.945,15.946,6.608,38.48,64.4,True
Lymphocytic oesophagitis,6,15.655,15.656,4.778,51.299,34.75,True
Rectal lesion,12,15.655,15.656,6.764,36.236,69.5,True
Gastrointestinal scarring,203,15.579,15.584,12.711,19.107,1172.38,True
Bile acid malabsorption,81,15.54,15.543,11.259,21.455,467.11,True
Anal incontinence,1683,15.473,15.521,14.461,16.657,9680.65,True
Post procedural fistula,32,15.462,15.463,9.265,25.807,183.99,True
Parathyroid gland enlargement,13,15.418,15.419,6.908,34.417,74.62,True
Arthritis enteropathic,53,15.366,15.367,10.328,22.863,303.59,True
Haemorrhoids,2092,15.256,15.314,14.376,16.312,11931.68,True
Large intestine polyp,884,15.235,15.259,13.847,16.815,5037.72,True
Intestinal fistula infection,15,15.053,15.054,7.163,31.637,84.86,True
Liver scan abnormal,8,14.91,14.91,5.407,41.118,45.0,True
Colorectal adenoma,113,14.891,14.894,11.372,19.507,635.11,True
Gastrointestinal inflammation,1050,14.604,14.632,13.398,15.979,5831.23,True
Anal fissure,1301,14.532,14.566,13.459,15.764,7203.02,True
Hyperemesis gravidarum,30,14.496,14.497,8.619,24.382,165.84,True
Intestinal fibrosis,10,14.496,14.496,5.89,35.675,55.28,True
Large intestinal ulcer,268,14.448,14.455,12.148,17.199,1478.45,True
Proctalgia,692,14.262,14.28,12.82,15.906,3786.72,True
Rectal haemorrhage,3778,14.05,14.146,13.51,14.813,20479.22,True
Stool analysis abnormal,29,14.013,14.013,8.296,23.669,156.93,True
Ileal ulcer,163,13.99,13.994,11.219,17.456,881.17,True
Endoscopy abnormal,16,13.916,13.916,6.88,28.148,86.2,True
Pityriasis rosea,18,13.814,13.814,7.119,26.804,96.52,True
Abdominal pain lower,2090,13.736,13.788,12.966,14.662,11166.59,True
Stomal hernia,100,13.733,13.735,10.372,18.189,534.2,True
Post procedural constipation,25,13.59,13.59,7.762,23.795,132.65,True
Lip neoplasm malignant stage unspecified,27,13.548,13.549,7.907,23.216,142.97,True
Vertebral column mass,28,13.529,13.53,7.974,22.956,148.14,True
Cholangitis sclerosing,300,13.267,13.274,11.303,15.589,1566.99,True
Maternal exposure during breast feeding,868,13.122,13.142,11.96,14.441,4500.89,True
Dyschezia,596,13.09,13.104,11.696,14.682,3085.52,True
Vulval cancer,27,13.046,13.047,7.653,22.242,139.47,True
Gastric mucosa erythema,49,13.046,13.047,8.781,19.386,253.11,True
Peritoneal cyst,7,13.046,13.046,4.576,37.195,36.16,True
Laryngitis bacterial,7,13.046,13.046,4.576,37.195,36.16,True
Hyperplastic cholecystopathy,6,13.046,13.046,4.208,40.452,30.99,True
Anal sphincter atony,28,12.596,12.597,7.494,21.174,141.25,True
Vascular fragility,37,12.377,12.378,7.894,19.409,184.43,True
Acquired oesophageal web,15,12.231,12.231,6.047,24.74,74.16,True
Cholangitis infective,28,12.176,12.177,7.276,20.381,137.99,True
Neurogenic shock,104,12.007,12.009,9.201,15.674,507.56,True
Diabetic foot infection,44,11.959,11.96,7.944,18.005,214.13,True
Anorectal infection,20,11.86,11.861,6.473,21.732,96.76,True
Oral pustule,10,11.86,11.86,5.037,27.927,48.38,True
Viral sinusitis,30,11.86,11.861,7.234,19.447,145.15,True
Vaginal fistula,19,11.804,11.804,6.346,21.956,91.61,True
Testicular cyst,19,11.804,11.804,6.346,21.956,91.61,True
Hyperactive pharyngeal reflex,28,11.784,11.784,7.069,19.644,134.85,True
Infective glossitis,17,11.673,11.673,6.068,22.458,81.32,True
Incision site haemorrhage,48,11.597,11.598,7.861,17.109,228.54,True
Blood electrolytes increased,23,11.113,11.114,6.373,19.382,106.17,True
Thyroid cancer metastatic,16,10.986,10.987,5.65,21.364,73.23,True
Biliary sepsis,21,10.959,10.959,6.135,19.577,95.94,True
Localised melanoma,14,10.744,10.744,5.296,21.796,63.02,True
Gastrointestinal mucosa hyperaemia,43,10.585,10.585,7.079,15.828,191.37,True
Monocular vision,4,10.437,10.437,2.803,38.868,17.61,True
Small intestine polyp,8,10.437,10.437,4.119,26.445,35.22,True
Staphylococcal pharyngitis,4,10.437,10.437,2.803,38.868,17.61,True
Intestinal anastomosis complication,15,10.3,10.3,5.234,20.269,65.37,True
Upper gastrointestinal perforation,15,10.3,10.3,5.234,20.269,65.37,True
Vascular device occlusion,101,10.214,10.216,7.874,13.255,437.35,True
Hydrosalpinx,14,10.147,10.147,5.047,20.402,60.31,True
Abdominal hernia,477,10.135,10.144,9.0,11.433,2053.02,True
Anal fistula,470,10.102,10.11,8.963,11.404,2017.64,True
Colitis microscopic,395,10.065,10.072,8.833,11.485,1690.84,True
Job dissatisfaction,47,10.052,10.053,6.872,14.706,200.99,True
Umbilical discharge,10,10.036,10.036,4.401,22.887,42.71,True
Urinary sediment present,36,9.993,9.993,6.474,15.426,153.23,True
Rectal spasm,48,9.94,9.941,6.829,14.471,203.46,True
Gastrointestinal stenosis,34,9.857,9.858,6.315,15.389,143.16,True
Benign gastrointestinal neoplasm,3,9.785,9.785,2.19,43.72,12.56,True
Ectopic gastric mucosa,3,9.785,9.785,2.19,43.72,12.56,True
Wound abscess,15,9.785,9.785,5.01,19.112,62.79,True
Vesical fistula,21,9.785,9.785,5.557,17.23,87.9,True
Vascular access site discomfort,9,9.785,9.785,4.123,23.222,37.67,True
Cerebrovascular arteriovenous malformation,3,9.785,9.785,2.19,43.72,12.56,True
Morning sickness,85,9.643,9.644,7.286,12.765,351.66,True
Prolactin-producing pituitary tumour,8,9.488,9.488,3.816,23.589,32.67,True
Gender dysphoria,15,9.319,9.319,4.804,18.077,60.35,True
Blastocystis infection,5,9.319,9.319,2.958,29.362,20.12,True
Bile duct cancer recurrent,5,9.319,9.319,2.958,29.362,20.12,True
Lid sulcus deepened,34,9.241,9.242,5.956,14.34,135.85,True
Breast cellulitis,28,9.132,9.133,5.635,14.803,110.79,True
Colonoscopy abnormal,46,9.093,9.094,6.241,13.25,181.35,True
Appendix cancer,16,9.076,9.076,4.795,17.179,62.98,True
Vaginal cyst,25,9.06,9.06,5.439,15.092,98.26,True
Large intestinal ulcer haemorrhage,9,9.032,9.032,3.861,21.13,35.28,True
Gastrointestinal anastomotic leak,20,8.997,8.998,5.09,15.906,78.15,True
Intensive care unit delirium,4,8.697,8.698,2.454,30.822,15.19,True
Postoperative abscess,50,8.697,8.698,6.082,12.441,189.82,True
Neurogenic bowel,18,8.697,8.698,4.791,15.792,68.34,True
Abdominal pain,16447,8.591,8.84,8.666,9.017,61780.59,True
Intestinal polyp,94,8.576,8.577,6.612,11.127,352.55,True
Faeces hard,665,8.556,8.566,7.767,9.446,2489.1,True
Post procedural discharge,47,8.516,8.517,5.897,12.3,175.21,True
Transfusion-related circulatory overload,40,8.417,8.417,5.656,12.526,147.59,True
Soft tissue swelling,36,8.24,8.24,5.429,12.507,130.36,True
Proctitis,243,8.213,8.216,6.998,9.647,877.4,True
Enterovesical fistula,47,8.176,8.176,5.678,11.774,169.01,True
Periorbital haematoma,15,8.154,8.154,4.278,15.543,53.81,True
Hypoaesthesia teeth,5,8.154,8.154,2.667,24.925,17.94,True
Intestinal cyst,13,8.076,8.076,4.044,16.129,46.24,True
Gastrointestinal viral infection,197,8.057,8.059,6.748,9.626,699.17,True
Oophoritis,8,8.028,8.029,3.328,19.37,28.3,True
Abdominal tenderness,287,8.001,8.004,6.91,9.272,1012.16,True
Gastrointestinal polyp,53,7.948,7.948,5.649,11.184,185.79,True
Lobular breast carcinoma in situ,3,7.828,7.828,1.871,32.755,10.37,True
Hepatic vein thrombosis,12,7.828,7.828,3.827,16.013,41.49,True
Haemorrhoidal haemorrhage,234,7.808,7.811,6.642,9.185,807.08,True
Blood creatine decreased,13,7.709,7.709,3.884,15.304,44.31,True
Soft tissue mass,21,7.61,7.611,4.443,13.036,70.73,True
Rectal prolapse,55,7.553,7.554,5.419,10.529,183.94,True
Clostridium difficile infection,1447,7.536,7.554,7.08,8.06,4829.17,True
Small intestinal obstruction,737,7.529,7.539,6.885,8.255,2457.59,True
Small intestine ulcer,53,7.516,7.516,5.361,10.539,176.43,True
Blood pressure diastolic increased,485,7.506,7.512,6.718,8.4,1612.51,True
Endometrial hyperplasia,27,7.495,7.495,4.669,12.032,89.64,True
Food intolerance,296,7.426,7.43,6.442,8.57,974.27,True
Silent thyroiditis,21,7.405,7.405,4.335,12.65,68.93,True
Gastrointestinal obstruction,144,7.396,7.398,6.03,9.077,472.15,True
Empty sella syndrome,13,7.374,7.374,3.735,14.557,42.5,True
Pubic pain,9,7.338,7.339,3.243,16.607,29.29,True
Gastrointestinal infection,948,7.301,7.312,6.753,7.918,3070.05,True
Hepatitis C virus test positive,10,7.248,7.248,3.346,15.702,32.16,True
Haemangioma of spleen,5,7.248,7.248,2.429,21.627,16.08,True
Fistula,961,7.23,7.242,6.693,7.836,3083.21,True
Fistula of small intestine,52,7.217,7.218,5.144,10.128,166.54,True
Anal pruritus,68,7.213,7.213,5.364,9.7,217.65,True
Lower respiratory tract infection viral,42,7.21,7.21,4.946,10.51,134.38,True
Infrequent bowel movements,175,7.157,7.159,5.954,8.609,555.95,True
Enterocolonic fistula,6,7.116,7.116,2.632,19.242,18.96,True
Urethral discharge,7,7.025,7.025,2.803,17.608,21.84,True
Fibroma,22,7.0,7.001,4.17,11.752,68.4,True
Anal abscess,386,6.975,6.979,6.168,7.898,1195.71,True
Prostatic haemorrhage,8,6.958,6.958,2.95,16.412,24.72,True
Faecal volume decreased,258,6.94,6.943,5.97,8.075,795.27,True
Impaired work ability,627,6.915,6.922,6.283,7.626,1925.67,True
Endometrial disorder,11,6.834,6.834,3.295,14.174,33.39,True
Diarrhoea infectious,51,6.789,6.79,4.84,9.524,153.8,True
Anal inflammation,27,6.774,6.774,4.255,10.784,81.24,True
Stoma site discomfort,15,6.748,6.748,3.618,12.587,44.96,True
Corticobasal degeneration,15,6.748,6.748,3.618,12.587,44.96,True
Enterocutaneous fistula,79,6.736,6.737,5.135,8.839,236.37,True
Placental disorder,17,6.721,6.721,3.744,12.066,50.75,True
Anal blister,25,6.656,6.656,4.112,10.776,73.9,True
Serum ferritin decreased,183,6.65,6.652,5.567,7.949,540.47,True
Anastomotic leak,30,6.634,6.634,4.275,10.296,88.38,True
Gastroenteritis,950,6.628,6.638,6.139,7.178,2796.04,True
Duodenogastric reflux,64,6.627,6.627,4.905,8.954,188.33,True
Faeces discoloured,1084,6.596,6.608,6.142,7.109,3174.9,True
Cervical incompetence,8,6.523,6.523,2.792,15.242,23.17,True
Rectal ulcer haemorrhage,9,6.523,6.523,2.931,14.52,26.06,True
Rectal fissure,17,6.523,6.523,3.644,11.677,49.23,True
Astrocytoma,9,6.523,6.523,2.931,14.52,26.06,True
Ear lobe infection,4,6.523,6.523,1.964,21.663,11.58,True
Streptococcal urinary tract infection,14,6.523,6.523,3.434,12.391,40.54,True
Diarrhoea haemorrhagic,403,6.523,6.527,5.792,7.357,1166.94,True
Tongue abscess,3,6.523,6.523,1.631,26.083,8.69,True
Stag horn calculus,3,6.523,6.523,1.631,26.083,8.69,True
Osteoporosis postmenopausal,4,6.523,6.523,1.964,21.663,11.58,True
Colonic abscess,52,6.461,6.462,4.634,9.009,149.09,True
Cryptosporidiosis infection,25,6.395,6.395,3.963,10.32,70.92,True
Diverticulum intestinal,356,6.38,6.383,5.623,7.246,1007.39,True
Gastrointestinal bacterial infection,138,6.362,6.363,5.191,7.799,389.35,True
Gastrointestinal pain,727,6.357,6.364,5.824,6.955,2049.55,True
Alcohol withdrawal syndrome,36,6.347,6.347,4.262,9.453,101.32,True
Pseudopolyp,29,6.306,6.306,4.048,9.824,81.06,True
Bone swelling,23,6.251,6.252,3.803,10.277,63.71,True
Oesophageal discomfort,44,6.239,6.24,4.357,8.937,121.63,True
Female genital tract fistula,163,6.218,6.22,5.161,7.495,448.95,True
Bacterial vulvovaginitis,37,6.189,6.189,4.185,9.153,101.4,True
Carbuncle,18,6.18,6.18,3.527,10.828,49.25,True
Jejunal ulcer,8,6.139,6.139,2.65,14.226,21.74,True
Anal fistula infection,8,6.139,6.139,2.65,14.226,21.74,True
Limb traumatic amputation,8,6.139,6.139,2.65,14.226,21.74,True
Application site haemorrhage,47,6.132,6.132,4.336,8.673,127.54,True
Premature menopause,36,6.1,6.1,4.106,9.061,97.14,True
Perirectal abscess,21,6.088,6.088,3.627,10.22,56.55,True
Anastomotic stenosis,18,6.021,6.021,3.445,10.526,47.9,True
Autoimmune hypothyroidism,12,6.021,6.021,3.038,11.934,31.93,True
Gastric varices,22,5.98,5.98,3.61,9.905,58.1,True
Spondyloarthropathy,22,5.98,5.98,3.61,9.905,58.1,True
Food poisoning,566,5.936,5.941,5.379,6.562,1482.93,True
Diversion colitis,10,5.93,5.93,2.808,12.523,26.17,True
Breast disorder female,5,5.93,5.93,2.06,17.068,13.09,True
Malignant melanoma stage IV,5,5.93,5.93,2.06,17.068,13.09,True
Pilonidal disease,29,5.912,5.912,3.812,9.168,75.64,True
Mouth ulceration,1005,5.911,5.921,5.495,6.379,2621.26,True
Lower urinary tract symptoms,19,5.902,5.902,3.433,10.147,49.47,True
Systolic hypertension,14,5.892,5.892,3.134,11.075,36.38,True
Retracted nipple,14,5.892,5.892,3.134,11.075,36.38,True
Tenosynovitis stenosans,33,5.818,5.818,3.86,8.769,84.57,True
Post procedural haematuria,8,5.798,5.798,2.521,13.335,20.43,True
Gastrointestinal tract mucosal pigmentation,16,5.798,5.798,3.218,10.449,40.85,True
Incision site pruritus,4,5.798,5.798,1.786,18.829,10.21,True
Anal cancer,31,5.778,5.778,3.785,8.819,78.84,True
Intestinal obstruction,2402,5.764,5.786,5.514,6.071,6092.26,True
Family stress,60,5.756,5.756,4.248,7.8,151.95,True
Oesophageal achalasia,29,5.732,5.733,3.704,8.872,73.11,True
Blood uric acid decreased,25,5.722,5.722,3.576,9.157,62.9,True
Metamyelocyte count increased,7,5.708,5.708,2.348,13.874,17.56,True
Carditis,31,5.617,5.617,3.687,8.558,76.39,True
Vein collapse,71,5.614,5.614,4.251,7.415,174.83,True
Poor venous access,2429,5.595,5.616,5.355,5.89,5958.26,True
Parachute mitral valve,3,5.591,5.591,1.446,21.622,7.35,True
Perineal swelling,6,5.591,5.591,2.149,14.55,14.71,True
Incarcerated umbilical hernia,6,5.591,5.591,2.149,14.55,14.71,True
Rheumatic disorder,67,5.567,5.568,4.183,7.412,163.44,True
Salivary gland calculus,29,5.564,5.564,3.602,8.594,70.69,True
Biliary tract infection,20,5.552,5.552,3.29,9.369,48.63,True
Hypometabolism,17,5.545,5.545,3.144,9.78,41.27,True
Septic cardiomyopathy,8,5.493,5.493,2.405,12.548,19.22,True
Viral rash,18,5.461,5.461,3.15,9.468,42.95,True
Abnormal faeces,858,5.418,5.425,5.01,5.875,2028.52,True
Blood pressure increased,8041,5.408,5.477,5.336,5.622,18969.0,True
Colorectal cancer,122,5.359,5.36,4.341,6.618,284.79,True
Stress,4382,5.34,5.377,5.191,5.57,10187.33,True
Pancreatic duct dilatation,9,5.337,5.337,2.458,11.591,20.91,True
Abscess,746,5.318,5.325,4.89,5.798,1725.92,True
Campylobacter gastroenteritis,50,5.303,5.304,3.818,7.368,115.3,True
Post procedural haematoma,43,5.292,5.293,3.713,7.544,98.91,True
Epstein-Barr virus test positive,15,5.289,5.289,2.903,9.637,34.48,True
Short-bowel syndrome,68,5.281,5.281,3.985,7.0,156.01,True
Rectal polyp,12,5.218,5.219,2.672,10.193,27.15,True
Renal cancer stage IV,8,5.218,5.219,2.299,11.848,18.1,True
Cervicogenic headache,16,5.218,5.219,2.923,9.319,36.2,True
Splenic embolism,6,5.218,5.219,2.025,13.45,13.57,True
Ocular neoplasm,17,5.158,5.158,2.942,9.044,37.93,True
Product impurity,15,5.15,5.15,2.833,9.362,33.4,True
Discouragement,315,5.137,5.139,4.511,5.855,699.37,True
Chronic respiratory disease,22,5.125,5.125,3.13,8.393,48.71,True
Perineal rash,11,5.125,5.125,2.552,10.295,24.36,True
Central nervous system neoplasm,9,5.105,5.105,2.362,11.033,19.83,True
Strangulated hernia,7,5.074,5.074,2.119,12.147,15.31,True
Flatulence,2549,5.073,5.093,4.865,5.332,5574.72,True
Serum ferritin abnormal,25,5.018,5.018,3.164,7.959,53.95,True
Vascular access site infection,5,5.018,5.018,1.789,14.075,10.79,True
Drug clearance increased,5,5.018,5.018,1.789,14.075,10.79,True
Lactation disorder,11,4.949,4.949,2.472,9.906,23.34,True
Ligament pain,9,4.892,4.892,2.274,10.525,18.83,True
Allergic bronchitis,3,4.892,4.892,1.298,18.441,6.28,True
Exercise lack of,13,4.846,4.846,2.564,9.159,26.87,True
Pelvic discomfort,36,4.842,4.842,3.303,7.098,74.34,True
Abscess oral,58,4.82,4.82,3.567,6.514,119.08,True
Diastasis recti abdominis,21,4.806,4.807,2.914,7.927,42.97,True
Skin laxity,36,4.792,4.793,3.271,7.022,73.39,True
Inguinal hernia,280,4.75,4.752,4.145,5.449,564.46,True
Culture stool positive,4,4.744,4.744,1.511,14.899,8.05,True
Anorectal disorder,57,4.707,4.707,3.477,6.372,113.57,True
Inadequate diet,18,4.697,4.697,2.74,8.05,35.77,True
Eye paraesthesia,5,4.659,4.659,1.678,12.936,9.83,True
Large intestine erosion,5,4.659,4.659,1.678,12.936,9.83,True
Complication of delivery,5,4.659,4.659,1.678,12.936,9.83,True
Inner ear disorder,46,4.652,4.652,3.323,6.514,90.3,True
Multiple injuries,32,4.639,4.639,3.099,6.944,62.58,True
Volvulus,91,4.619,4.62,3.638,5.868,177.02,True
Vulvovaginal inflammation,13,4.584,4.584,2.437,8.623,25.04,True
Adrenal adenoma,14,4.566,4.566,2.484,8.393,26.83,True
Gilbert's syndrome,8,4.538,4.538,2.03,10.145,15.21,True
Gallbladder obstruction,8,4.538,4.538,2.03,10.145,15.21,True
Hepatic infection,56,4.538,4.538,3.348,6.151,106.44,True
Preterm premature rupture of membranes,9,4.516,4.516,2.116,9.638,17.0,True
Microcytic anaemia,57,4.507,4.507,3.335,6.091,107.37,True
Nasal discharge discolouration,148,4.501,4.502,3.734,5.427,278.3,True
Campylobacter infection,43,4.452,4.453,3.15,6.294,79.71,True
Vitamin B12 decreased,197,4.431,4.433,3.771,5.21,362.89,True
Abdominal abscess,183,4.421,4.422,3.74,5.23,336.09,True
Intestinal ulcer,60,4.398,4.398,3.282,5.893,109.41,True
Vertigo positional,66,4.393,4.394,3.324,5.807,120.18,True
Cystocele,58,4.374,4.374,3.249,5.889,105.0,True
Papillary cystadenoma lymphomatosum,5,4.349,4.349,1.581,11.966,8.98,True
Gastroenteritis aeromonas,4,4.349,4.349,1.403,13.484,7.19,True
Cystitis bacterial,21,4.349,4.349,2.654,7.126,37.72,True
Perineal cellulitis,3,4.349,4.349,1.177,16.064,5.39,True
